Name and handle,ID number,Industry,Location,Not verified
Tom Morris @tommorris32,370524438,,,
Aramis Sartorio @TommyPistol,38793443,,,
Dom Knight @domknight,6782812,,,
Mark Cuban @subzerov690,321029781,,,Not verified
Tony Posnanski @tonyposnanski,17642747,,,
Salaam Bhatti @salawm,289052830,,,
MatthewDicks @MatthewDicks,18108585,,,
Joe Papp @joepabike,17928897,,,
Ashley Feinberg @ashleyfeinberg,165944767,,,
Tommy Campbell @MrTommyCampbell,30739842,,,
Mike P Williams @Mike_P_Williams,32974114,,,
🐇 @VeeVee,16507122,,,
Roland Scahill @rolandscahill,19865053,,,
Ali Abunimah @AliAbunimah,16799023,,,
